,precision,recall,f1-score,support
acclimatization,1.0,1.0,1.0,5.0
children_climbing,1.0,1.0,1.0,5.0
chitchat,1.0,0.8,0.8888888888888888,5.0
climb_duration,1.0,1.0,1.0,10.0
climbing_history,1.0,1.0,1.0,5.0
cost_to_climb,1.0,1.0,1.0,10.0
death_zone,1.0,1.0,1.0,5.0
eligibility_age,1.0,1.0,1.0,5.0
emergency_support,1.0,1.0,1.0,5.0
environmental_impact,1.0,1.0,1.0,5.0
equipment_climb_everest,1.0,1.0,1.0,5.0
everest_height_changes,1.0,1.0,1.0,5.0
everest_myths,1.0,1.0,1.0,5.0
fallback,0.9090909090909091,1.0,0.9523809523809523,10.0
famous_climbers,1.0,1.0,1.0,5.0
female_climbers,1.0,1.0,1.0,5.0
garbage_management,1.0,1.0,1.0,5.0
gear_rental,1.0,1.0,1.0,5.0
gift_vouchers,1.0,1.0,1.0,5.0
greetings,1.0,1.0,1.0,8.0
group_size,1.0,1.0,1.0,5.0
language_at_basecamp,1.0,1.0,1.0,5.0
medical_support,1.0,1.0,1.0,5.0
mental_preparation,1.0,1.0,1.0,5.0
mount_everest_height,1.0,1.0,1.0,5.0
mount_everest_location,1.0,1.0,1.0,5.0
oxygen_usage,1.0,1.0,1.0,5.0
packing_list,1.0,1.0,1.0,5.0
payment_methods,1.0,1.0,1.0,5.0
points_earned,1.0,1.0,1.0,5.0
record_holders,1.0,1.0,1.0,5.0
refund_policy,1.0,1.0,1.0,5.0
rest_days,1.0,1.0,1.0,5.0
risk_factors,1.0,1.0,1.0,5.0
safety_measures,1.0,1.0,1.0,10.0
sherpa_support,1.0,1.0,1.0,5.0
summit_photography,1.0,1.0,1.0,5.0
tech_on_everest,1.0,1.0,1.0,5.0
training_duration,1.0,1.0,1.0,5.0
visa_requirements,1.0,1.0,1.0,5.0
weather_patterns,1.0,1.0,1.0,5.0
wheelchair_access,1.0,1.0,1.0,5.0
accuracy,0.9957081545064378,0.9957081545064378,0.9957081545064378,0.9957081545064378
macro avg,0.9978354978354977,0.9952380952380951,0.9962207105064248,233.0
weighted avg,0.9960983222785798,0.9957081545064378,0.9955719054431501,233.0
